Account Name;Parent Account;Account Number;Parent Account Number;Is Group;Account Type;Root type;Account Currency
Capital social;;100;;1;;Equity;
Fondo social;;101;;1;;Equity;
Capital;;102;;1;;Equity;
Socios por desembolsos no exigidos;;103;;1;;Equity;
Socios por desembolsos no exigidos, capital social;Socios por desembolsos no exigidos;1030;103;1;;Equity;
Socios por desembolsos no exigidos, capital pendiente de inscripción;Socios por desembolsos no exigidos;1034;103;1;;Equity;
Socios por aportaciones no dinerarias pendientes;;104;;1;;Equity;
Socios por aportaciones no dinerarias pendientes, capital social;Socios por aportaciones no dinerarias pendientes;1040;104;1;;Equity;
Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción;Socios por aportaciones no dinerarias pendientes;1044;104;1;;Equity;
Acciones o participaciones propias en situaciones especiales;;108;;1;;Equity;
Acciones o participaciones propias para reducción de capital;;109;;1;;Equity;
Prima de emisión o asunción;;110;;1;;Equity;
Otros instrumentos de patrimonio neto;;111;;1;;Equity;
Patrimonio neto por emisión de instrumentos financieros compuestos;Otros instrumentos de patrimonio neto;1110;111;1;;Equity;
Resto de instrumentos de patrimonio neto;Otros instrumentos de patrimonio neto;1111;111;1;;Equity;
Reserva legal;;112;;1;;Equity;
Reservas voluntarias;;113;;1;;Equity;
Reservas especiales;;114;;1;;Equity;
Reservas para acciones o participaciones de la sociedad dominante;Reservas especiales;1140;114;1;;Equity;
Reservas estatutarias;Reservas especiales;1141;114;1;;Equity;
Reserva por capital amortizado;Reservas especiales;1142;114;1;;Equity;
Reserva por fondo de comercio;Reservas especiales;1143;114;1;;Equity;
Reservas por acciones propias aceptadas en garantía;Reservas especiales;1144;114;1;;Equity;
Reservas por pérdidas y ganancias actuariales y otros ajustes;;115;;1;;Equity;
Aportaciones de socios o propietarios;;118;;1;;Equity;
Diferencias por ajuste del capital a euros;;119;;1;;Equity;
Remanente;;120;;1;;Equity;
Resultados negativos de ejercicios anteriores;;121;;1;;Equity;
Resultado del ejercicio;;129;;1;;Equity;
Subvenciones oficiales de capital;;130;;1;;Equity;
Donaciones y legados de capital;;131;;1;;Equity;
Otras subvenciones, donaciones y legados;;132;;1;;Equity;
Ajustes por valoración en activos financieros disponibles para la venta;;133;;1;;Equity;
Operaciones de cobertura;;134;;1;;Equity;
Cobertura de flujos de efectivo;Operaciones de cobertura;1340;134;1;;Equity;
Cobertura de una inversión neta en un negocio en el extranjero;Operaciones de cobertura;1341;134;1;;Equity;
Diferencias de conversión;;135;;1;;Equity;
Ajustes por valoración en activos no corrientes y grupos enajenables de elementos, mantenidos para la venta;;136;;1;;Equity;
Ingresos fiscales a distribuir en varios ejercicios;;137;;1;;Equity;
Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios;Ingresos fiscales a distribuir en varios ejercicios;1370;137;1;;Equity;
